# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2017;;;;;;;;;;;;;;;;
# Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 19. Deutschen Bundestag;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 28.02.2017;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5987;062;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Neuberend;00;;;24879;
001;Flensburg – Schleswig;01;0;59;5974;063;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Norderbrarup;00;;;24392;
001;Flensburg – Schleswig;01;0;59;5996;064;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Norderstapel;00;;;25868;
001;Flensburg – Schleswig;01;0;59;5974;065;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Nottfeld;00;;;24392;
001;Flensburg – Schleswig;01;0;59;5920;067;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Oersberg;00;;;24407;
001;Flensburg – Schleswig;01;0;59;5920;068;Schleswig-Holstein;;Schleswig-Flensburg;Kappeln-Land;Rabenkirchen-Faulück;00;;;24407;*****
001;Flensburg – Schleswig;01;0;59;5974;070;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Rügge;00;;;24405;*****
001;Flensburg – Schleswig;01;0;59;5974;072;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Saustrup;00;;;24392;*****
001;Flensburg – Schleswig;01;0;59;5987;073;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Schaalby;00;;;24882;
001;Flensburg – Schleswig;01;0;59;5974;074;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Scheggerott;00;;;24392;
001;Flensburg – Schleswig;01;0;59;0000;075;Schleswig-Holstein;;Schleswig-Flensburg;;Schleswig, Stadt;00;;;24837;
001;Flensburg – Schleswig;01;0;59;5949;076;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Schnarup-Thumby;00;;;24891;
001;Flensburg – Schleswig;01;0;59;5993;077;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Schuby;00;;;24850;*****
001;Flensburg – Schleswig;01;0;59;5915;078;Schleswig-Holstein;;Schleswig-Flensburg;Haddeby;Selk;00;;;24884;
001;Flensburg – Schleswig;01;0;59;5993;079;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Silberstedt;00;;;24887;
001;Flensburg – Schleswig;01;0;59;5974;080;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Steinfeld;00;;;24888;
001;Flensburg – Schleswig;01;0;59;5987;081;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Stolk;00;;;24890;
001;Flensburg – Schleswig;01;0;59;5987;082;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Struxdorf;00;;;24891;
001;Flensburg – Schleswig;01;0;59;5974;083;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Süderbrarup;00;;;24392;
001;Flensburg – Schleswig;01;0;59;5987;084;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Süderfahrenstedt;00;;;24890;*****
001;Flensburg – Schleswig;01;0;59;5996;085;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Süderstapel;00;;;25879;*****
001;Flensburg – Schleswig;01;0;59;5987;086;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Taarstedt;00;;;24893;
001;Flensburg – Schleswig;01;0;59;5996;087;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tetenhusen;00;;;24817;*****
001;Flensburg – Schleswig;01;0;59;5996;088;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tielen;00;;;24803;
001;Flensburg – Schleswig;01;0;59;5987;090;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Tolk;00;;;24894;
001;Flensburg – Schleswig;01;0;59;5993;092;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Treia;00;;;24896;*****
001;Flensburg – Schleswig;01;0;59;5987;093;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Uelsby;00;;;24860;*****
001;Flensburg – Schleswig;01;0;59;5974;094;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Ulsnis;00;;;24897;*****
001;Flensburg – Schleswig;01;0;59;5974;095;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Wagersrott;00;;;24392;
001;Flensburg – Schleswig;01;0;59;5996;096;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Wohlde;00;;;24899;
001;Flensburg – Schleswig;01;0;59;5987;097;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Twedt;00;;;24894;
001;Flensburg – Schleswig;01;0;59;5987;098;Schleswig-Holstein;;Schleswig-Flensburg;Südangeln;Nübel;00;;;24881;
001;Flensburg – Schleswig;01;0;59;5919;101;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Tastrup;00;;;24943;
001;Flensburg – Schleswig;01;0;59;5990;102;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Ahneby;00;;;24996;
001;Flensburg – Schleswig;01;0;59;5919;103;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Ausacker;00;;;24975;
001;Flensburg – Schleswig;01;0;59;5952;105;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Böxlund;00;;;24994;
001;Flensburg – Schleswig;01;0;59;5937;106;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Dollerup;00;;;24989;
001;Flensburg – Schleswig;01;0;59;5912;107;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Eggebek;00;;;24852;
001;Flensburg – Schleswig;01;0;59;5990;109;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Esgrus;00;;;24402;*****
001;Flensburg – Schleswig;01;0;59;5990;112;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Gelting;00;;;24395;
001;Flensburg – Schleswig;01;0;59;0000;113;Schleswig-Holstein;;Schleswig-Flensburg;;Glücksburg (Ostsee), Stadt;00;;;24960;
001;Flensburg – Schleswig;01;0;59;5952;115;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Großenwiehe;00;;;24969;
001;Flensburg – Schleswig;01;0;59;5919;116;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Großsolt;00;;;24991;
001;Flensburg – Schleswig;01;0;59;5937;118;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Grundhof;00;;;24977;
001;Flensburg – Schleswig;01;0;59;0000;120;Schleswig-Holstein;;Schleswig-Flensburg;;Harrislee;00;;;24955;
001;Flensburg – Schleswig;01;0;59;5990;121;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Hasselberg;00;;;24376;
001;Flensburg – Schleswig;01;0;59;5952;123;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Hörup;00;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;124;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Holt;00;;;24994;
001;Flensburg – Schleswig;01;0;59;5919;126;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Hürup;00;;;24975;
001;Flensburg – Schleswig;01;0;59;5919;127;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Husby;00;;;24975;
001;Flensburg – Schleswig;01;0;59;5912;128;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Janneby;00;;;24992;
001;Flensburg – Schleswig;01;0;59;5952;129;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Jardelund;00;;;24994;
001;Flensburg – Schleswig;01;0;59;5912;131;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jerrishoe;00;;;24963;
001;Flensburg – Schleswig;01;0;59;5912;132;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Jörl;00;;;24992;
001;Flensburg – Schleswig;01;0;59;5990;136;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Kronsgaard;00;;;24395;
001;Flensburg – Schleswig;01;0;59;5937;137;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Langballig;00;;;24977;
001;Flensburg – Schleswig;01;0;59;5912;138;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Langstedt;00;;;24852;
001;Flensburg – Schleswig;01;0;59;5919;141;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Maasbüll;00;;;24975;
001;Flensburg – Schleswig;01;0;59;5990;142;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Maasholm;00;;;24404;*****
001;Flensburg – Schleswig;01;0;59;5952;143;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Medelby;00;;;24994;
