# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2020;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 20. Deutschen Bundestag (gemäß 24. Gesetz zur Änderung des Bundeswahlgesetzes vom 25.06.2020);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 15.04.2020;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5974;065;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Nottfeld;;;;24392;
001;Flensburg – Schleswig;01;0;59;5920;067;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Oersberg;;;;24407;
001;Flensburg – Schleswig;01;0;59;5920;068;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kappeln-Land;Rabenkirchen-Faulück;;;;24407;*****
001;Flensburg – Schleswig;01;0;59;5974;070;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Rügge;;;;24405;
001;Flensburg – Schleswig;01;0;59;5974;072;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Saustrup;;;;24392;*****
001;Flensburg – Schleswig;01;0;59;5987;073;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Schaalby;;;;24882;
001;Flensburg – Schleswig;01;0;59;5974;074;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Scheggerott;;;;24392;
001;Flensburg – Schleswig;01;0;59;0000;075;Schleswig-Holstein;;Schleswig-Flensburg;;Schleswig, Stadt;;;;24837;
001;Flensburg – Schleswig;01;0;59;5949;076;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Schnarup-Thumby;;;;24891;
001;Flensburg – Schleswig;01;0;59;5993;077;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Schuby;;;;24850;*****
001;Flensburg – Schleswig;01;0;59;5915;078;Schleswig-Holstein;;Schleswig-Flensburg;Amt Haddeby;Selk;;;;24884;
001;Flensburg – Schleswig;01;0;59;5993;079;Schleswig-Holstein;;Schleswig-Flensburg;Amt Arensharde;Silberstedt;;;;24887;
001;Flensburg – Schleswig;01;0;59;5974;080;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Steinfeld;;;;24888;
001;Flensburg – Schleswig;01;0;59;5987;081;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Stolk;;;;24890;
001;Flensburg – Schleswig;01;0;59;5987;082;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Struxdorf;;;;24891;
